full_name,stars,html_url,language,Useful,description,classification,confidence_score,fetched_description
langgenius/dify,119804,https://github.com/langgenius/dify,TypeScript,N,Production-ready platform for agentic workflow development.,MCP Application Framework,65,Production-ready platform for agentic workflow development.
danny-avila/LibreChat,31958,https://github.com/danny-avila/LibreChat,TypeScript,Y-relevant,"Enhanced ChatGPT Clone: Features Agents, MCP, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message se",AI Agent with MCP Workflow,65,"Enhanced ChatGPT Clone: Features Agents, MCP, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active."
mcp-use/mcp-use,8397,https://github.com/mcp-use/mcp-use,TypeScript,N,mcp-use is the easiest way to interact with mcp servers with custom agents,MCP Application Framework,65,mcp-use is the easiest way to interact with mcp servers with custom agents
zilliztech/claude-context,4559,https://github.com/zilliztech/claude-context,TypeScript,N,Code search MCP for Claude Code. Make entire codebase the context for any coding agent.,AI Agent with MCP Workflow,65,Code search MCP for Claude Code. Make entire codebase the context for any coding agent.
PDFMathTranslate/PDFMathTranslate,30080,https://github.com/PDFMathTranslate/PDFMathTranslate,Python,N,[EMNLP 2025 Demo] PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/MCP/Docker/Zotero,MCP Application,65,[EMNLP 2025 Demo] PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/MCP/Docker/Zotero
baryhuang/mcp-remote-macos-use,415,https://github.com/baryhuang/mcp-remote-macos-use,Python,N,"The only general AI agent that does NOT requires extra API key, giving you full control on your local and remote MacOs from Claude Desktop App",AI Agent with MCP Workflow,65,"The only general AI agent that does NOT requires extra API key, giving you full control on your local and remote MacOs from Claude Desktop App"
milisp/mcp-linker,234,https://github.com/milisp/mcp-linker,TypeScript,Y,"mcp manager, add & syncs MCP server configurations across clients like Claude, Cursor💡 build-in AI assistant",AI Agent with MCP Workflow,63,"mcp manager, add & syncs MCP server configurations across clients like Claude, Cursor💡 build-in Codexia agent"
microsoft/mcp-dotnet-samples,133,https://github.com/microsoft/mcp-dotnet-samples,C#,N,A comprehensive set of samples of creating and using MCP servers and clients with .NET,MCP Application,63,A comprehensive set of samples of creating and using MCP servers and clients with .NET
invariantlabs-ai/mcp-streamable-http,106,https://github.com/invariantlabs-ai/mcp-streamable-http,TypeScript,N,Example implementation of MCP Streamable HTTP client/server in Python and TypeScript.,MCP Application,63,Example implementation of MCP Streamable HTTP client/server in Python and TypeScript.
jacksteamdev/obsidian-mcp-tools,456,https://github.com/jacksteamdev/obsidian-mcp-tools,TypeScript,N,Add Obsidian integrations like semantic search and custom Templater prompts to Claude or any MCP client.,MCP Application,63,Add Obsidian integrations like semantic search and custom Templater prompts to Claude or any MCP client.
prism-php/relay,141,https://github.com/prism-php/relay,PHP,Y-relevant,An MCP client tool for Prism,MCP Application,63,An MCP client tool for Prism
tanaikech/ToolsForMCPServer,79,https://github.com/tanaikech/ToolsForMCPServer,JavaScript,N,"The Gemini CLI confirmed that the MCP server built with Google Apps Script (GAS), a low-code platform, offers immense possibilities. If you've created snippets for GAS, these could be revitalized and/",MCP Application Framework,63,"The Gemini CLI confirmed that the MCP server built with Google Apps Script (GAS), a low-code platform, offers immense possibilities. If you've created snippets for GAS, these could be revitalized and/or leveraged in new ways by using them as the MCP server. The Gemini CLI and other MCP clients will be useful in achieving this."
MCP-Defender/MCP-Defender,164,https://github.com/MCP-Defender/MCP-Defender,TypeScript,N,"Desktop app that automatically scans and blocks malicious MCP traffic in AI apps like Cursor, Claude, VS Code and Windsurf.",MCP Application,63,"Desktop app that automatically scans and blocks malicious MCP traffic in AI apps like Cursor, Claude, VS Code and Windsurf."
cursor/cursor,32000,https://github.com/cursor/cursor,Rust,Y,The AI-powered code editor that provides native support for connecting to MCP servers to enhance coding context.,MCP Application,,
grab/cursor-talk-to-figma-mcp,5900,https://github.com/grab/cursor-talk-to-figma-mcp,JavaScript,Y,An MCP integration that allows Cursor AI to read designs from and make modifications to Figma files.,MCP Application,,
Klavis-AI/klavis,5600,https://github.com/Klavis-AI/klavis,Python,Y,A platform and SDK designed to help AI agents use tools reliably at scale via MCP.,MCP Application,,
jlowin/fastmcp,21800,https://github.com/jlowin/fastmcp,Python,Y,A high-level Pythonic framework for quickly building debugging and deploying MCP servers.,MCP Application,,
grafana/mcp-grafana,2100,http://github.com/grafana/mcp-grafana,Go,Y,An MCP server that provides AI agents with access to Grafana dashboards metrics and logs.,MCP Application,,
microsoft/azure-devops-mcp,1100,https://github.com/microsoft/azure-devops-mcp,TypeScript,Y,An MCP server for interacting with Azure DevOps resources like Work Items Repos and Pull Requests.,MCP Application,,
MarkusPfundstein/mcp-obsidian,2700,https://github.com/MarkusPfundstein/mcp-obsidian,Python,Y,An MCP server that exposes your Obsidian vault's notes and search capabilities to AI agents.,MCP Application,,
azure-ai-foundry/mcp-foundry,57,https://github.com/microsoft-foundry/mcp-foundry,Python,Y,An MCP server for interacting with Azure AI Foundry projects and models (Note: functionality moving to cloud).,MCP Application,,
awslabs/mcp,7800,https://github.com/awslabs/mcp,Python,Y,A collection of MCP servers for AWS services including ECS EKS and Serverless infrastructure.,MCP Application,,
JetBrains/mcp-jetbrains,938,https://github.com/JetBrains/mcp-jetbrains,TypeScript,Y,An MCP server that allows AI agents to interact directly with the context and state of JetBrains IDEs.,MCP Application,,
mindsdb/mindsdb,38200,https://github.com/mindsdb/mindsdb,Python,Y,An AI virtual database that integrates various data sources and exposes them to agents via MCP.,MCP Application,,
firebase/firebase-tools,4300,https://github.com/firebase/firebase-tools,TypeScript,Y,The Firebase CLI which includes an MCP server mode to help AI agents manage Firebase projects.,MCP Application,,
anthropics/claude-code,53500,https://github.com/anthropics/claude-code,TypeScript,Y,The AI-powered code editor that provides native support for connecting to MCP servers to enhance coding context.,MCP Application,,
eyaltoledano/claude-task-master,24700,https://github.com/eyaltoledano/claude-task-master,TypeScript,Y,An MCP server designed to add task management and project planning capabilities to AI editors.,MCP Application,,
continuedev/continue,30800,https://github.com/continuedev/continue,TypeScript,Y,An open-source AI code assistant for VS Code and JetBrains that connects to MCP servers for context.,,,
mem0ai/mem0,45300,https://github.com/mem0ai/mem0,Python,N,,,,
0xPlaygrounds/rig,5400,https://github.com/0xPlaygrounds/rig,Rust,N,,,,
browser-use/browser-use,68919,https://github.com/browser-use/browser-use,Python,Y,,,,
All-Hands-AI/OpenHands,62871,https://github.com/All-Hands-AI/OpenHands,Python,Y,,,,
FoundationAgents/OpenManus,49300,https://github.com/FoundationAgents/OpenManus,Python,Y,,,,
microsoft/autogen,49226,https://github.com/microsoft/autogen,Python,Y,,,,
openai/codex,37467,https://github.com/openai/codex,Rust,Y,,,,
xszyou/Fay,11757,https://github.com/xszyou/Fay,JavaScript,Y,,,,
webfansplz/vite-plugin-vue-mcp,533,https://github.com/webfansplz/vite-plugin-vue-mcp,Vue,Y,,,,
agentgateway/agentgateway,1500,https://github.com/agentgateway/agentgateway,Rust,N,,,,
All-Hands-AI/OpenHands,66500,https://github.com/All-Hands-AI/OpenHands,Python,N,,,,
anthropics/claude-code,55400,https://github.com/anthropics/claude-code,TypeScript,N,,,,
antinomyhq/forge,4600,https://github.com/antinomyhq/forge,Rust,N,,,,
AstrBotDevs/AstrBot,14900,https://github.com/AstrBotDevs/AstrBot,Python,N,,,,
BeehiveInnovations/zen-mcp-server,10800,https://github.com/BeehiveInnovations/zen-mcp-server,Python,N,,,,
campfirein/cipher,3400,https://github.com/campfirein/cipher,TypeScript,N,,,,
chrishayuk/mcp-cli,20,https://github.com/chrishayuk/mcp-cli,Python,N,,,,
cloudwalk/hermes-mcp,329,https://github.com/cloudwalk/hermes-mcp,Elixir,N,,,,
cso1z/Feishu-MCP,323,https://github.com/cso1z/Feishu-MCP,TypeScript,N,,,,
FoundationAgents/OpenManus,52700,https://github.com/FoundationAgents/OpenManus,Python,N,,,,
GitHub/CopilotForXcode,5500,https://github.com/GitHub/CopilotForXcode,Swift,N,,,,
GLips/Figma-Context-MCP,12500,https://github.com/GLips/Figma-Context-MCP,TypeScript,N,,,,
grafana/mcp-grafana,2100,https://github.com/grafana/mcp-grafana,Go,N,,,,
hangwin/mcp-chrome,9900,https://github.com/hangwin/mcp-chrome,TypeScript,N,,,,
invariantlabs-ai/mcp-scan,189,https://github.com/invariantlabs-ai/mcp-scan,Python,N,,,,
jlowin/fastmcp,21900,https://github.com/jlowin/fastmcp,Python,N,,,,
langchain-ai/langchain-mcp-adapters,3300,https://github.com/langchain-ai/langchain-mcp-adapters,Python,N,,,,
lastmile-ai/mcp-agent,196,https://github.com/lastmile-ai/mcp-agent,Python,N,,,,
MarkusPfundstein/mcp-obsidian,2600,https://github.com/MarkusPfundstein/mcp-obsidian,Python,N,,,,
MCPJam/inspector,1600,https://github.com/MCPJam/inspector,TypeScript,N,,,,
modelcontextprotocol/java-sdk,3100,https://github.com/modelcontextprotocol/java-sdk,Java,N,,,,
modelcontextprotocol/python-sdk,21100,https://github.com/modelcontextprotocol/python-sdk,Python,N,,,,
modelcontextprotocol/rust-sdk,2800,https://github.com/modelcontextprotocol/rust-sdk,Rust,N,,,,
modelcontextprotocol/typescript-sdk,11300,https://github.com/modelcontextprotocol/typescript-sdk,TypeScript,N,,,,
NitroRCr/AIaW,1700,https://github.com/NitroRCr/AIaW,TypeScript,N,,,,
openai/codex,55900,https://github.com/openai/codex,Rust,N,,,,
spiceai/spiceai,2700,https://github.com/spiceai/spiceai,Rust,N,,,,
vercel/mcp-adapter,531,https://github.com/vercel/mcp-adapter,TypeScript,N,,,,
wonderwhy-er/DesktopCommanderMCP,5200,https://github.com/wonderwhy-er/DesktopCommanderMCP,TypeScript,N,,,,
zaidmukaddam/scira-mcp-chat,827,https://github.com/zaidmukaddam/scira-mcp-chat,TypeScript,Y,,,,
Flux159/mcp-chat,131,https://github.com/Flux159/mcp-chat,TypeScript,Y,,,,
ThinkInAIXYZ/deepchat,5400,https://github.com/ThinkInAIXYZ/deepchat,TypeScript,Y,,,,
Ejb503/multimodal-mcp-client,208,https://github.com/Ejb503/multimodal-mcp-client,TypeScript,Y,,,,
makenotion/notion-mcp-server,3738,https://github.com/makenotion/notion-mcp-server,TypeScript,Y,"An official MCP server from Notion that exposes the Notion API as standardized tools, enabling MCP-based agents to read and manage Notion workspace content.",,,
triggerdotdev/trigger.dev,13324,https://github.com/triggerdotdev/trigger.dev,TypeScript,Y,"A runnable MCP-based system where the MCP server is distributed as part of the Trigger.dev application/tooling (invoked via the Trigger.dev CLI), exposing operational project-management and run-control tools to MCP Hosts.",,,
